坚决	a	ad	1_v
惩治	v	v	0_Root
贪污	v	v	1_v
贿赂	n	n	-1_v
等	u	udeng	-1_v
经济	n	n	1_v
犯罪	v	vn	-2_v

最高	n	nt	2_nt
人民	n	nt	1_nt
检察院	n	nt	1_n
检察长	n	n	0_Root
张思卿	n	nr	-1_n

反对	v	v	1_v
腐败	a	an	-1_v
是	v	vshi	0_Root
贯彻	v	v	2_n
执行	v	v	-1_v
党的基本路线	n	n	-2_v
的	u	ude1	-2_v
必然	b	b	1_n
要求	n	n	-3_v

是	v	vshi	0_Root
集中	v	v	4_v
力量	n	n	-1_v
把	p	pba	1_v
经济	n	n	1_v
建设	v	vn	1_v
搞	v	v	-2_v
上去	v	vf	-1_v
的	u	ude1	-4_v
重要	a	a	1_v
保证	v	vn	-5_v

江泽民	n	nr	1_n
同志	n	n	3_n
在	p	p	2_n
中纪委	n	n	1_n
二	m	m	1_q
次	q	qv	1_n
全会	n	n	1_n
上	f	f	-1_n
的	u	ude1	-1_n
重要	a	a	1_n
讲话	n	n	1_v
再次	d	d	1_v
表明	v	v	0_Root
了	u	ule	-1_v
党	n	n	1_v
和	c	cc	-1_n
国家	n	n	-1_n
坚决	a	ad	1_v
反对	v	v	1_n
腐败	a	an	-1_v
的	u	ude1	-1_v
决心	n	n	-2_v

为了	p	p	1_v
深入	a	ad	1_v
开展	v	v	0_Root
反	v	vi	1_v
腐败	a	an	-1_v
斗争	v	vn	-2_v

很	d	d	1_v
有	v	vyou	0_Root
必要	a	a	-1_v
对	p	p	3_n
惩治	v	v	3_n
贪污	v	v	1_v
贿赂	n	n	-1_v
犯罪	v	vn	-2_v
的	u	ude1	-3_v
一些	m	mq	2_n
理论	n	n	1_n
与	c	cc	-1_n
实践	v	vn	-1_n
问题	n	n	2_v
进行	v	vx	1_v
研究	v	vn	-1_a

这	r	rzv	1_d
也是	d	d	0_Root
广大	b	b	1_n
干部	n	n	-1_d

群众	n	n	1_v
十分	m	m	1_v
关心	v	v	0_Root
的	u	ude1	-1_v

我	r	rr	1_v
想	v	v	0_Root
联系	v	v	-1_v
检察	b	b	1_n
机关	n	n	1_v
惩治	v	v	3_n
贪污	v	v	1_v
贿赂	n	n	-1_v
等	u	udeng	-1_v
经济	n	n	1_v
犯罪	v	vn	-2_v
的	u	ude1	-3_v
实际	n	n	-4_v

反对	v	v	1_v
腐败	a	an	-1_v
是	v	vshi	0_Root
党	n	n	2_n
和	c	cc	-1_n
国家	n	n	-1_n
的	u	ude1	-2_n
一贯	b	b	1_n
方针	n	n	-1_v

我们	r	rr	1_n
党	n	n	1_n
的	u	ude1	-1_n
路线	n	n	1_v
是	v	vshi	0_Root
正确	a	a	-1_v
的	u	ude1	-1_a

我们	r	rr	1_n
的	u	ude1	-1_r
党	n	n	2_v
和	c	cc	-1_n
政府	n	n	-1_n
是	v	vshi	1_v
全心全意	d	dl	1_v
为	p	p	1_n
人民	n	n	1_v
服务	v	vn	0_Root
的	u	ude1	-1_v

党	n	n	3_n
和	c	cc	-1_n
国家	n	n	-1_n
工作	n	n	1_n
人员	n	n	2_m
的	u	ude1	-1_n
绝	m	m	1_m
大多数	m	m	1_b
是	v	vshi	1_b
廉洁自律	b	bl	0_Root

防止	v	v	0_Root
和	c	cc	-1_v
惩治	v	v	-1_v
贪污	v	v	2_n
贿赂	n	n	-1_v
等	u	udeng	-1_v
腐败	a	a	1_n
现象	n	n	-3_v

是	v	vshi	0_Root
党	n	n	1_n
的	u	ude1	-1_n
一贯	b	b	1_n
主张	n	n	-1_v

而且	c	c	1_v
取得	v	v	0_Root
了	u	ule	-1_v
很	d	d	1_a
大	a	a	1_n
成绩	n	n	-1_v

反	v	vi	1_v
腐败	a	an	-1_v
斗争	v	vn	1_b
是	v	vshi	1_b
长期	b	b	0_Root
的	u	ude1	-1_b

